product_id,warehouse_id,stock_quantity
201,1,50
202,1,30
203,2,120
204,1,60
205,2,90
206,3,40
207,1,70
208,2,80
209,3,100
210,1,20
211,2,110
212,3,30
213,1,50
214,2,60
215,3,70
216,1,80
217,2,90
218,3,100
219,1,40
220,2,50
221,3,60
222,1,70
223,2,80
224,3,90
225,1,100
226,2,20
227,3,30
228,1,40
229,2,50
230,3,60
231,1,70
232,2,80
233,3,90
234,1,100
235,2,20
236,3,30
237,1,40
238,2,50
239,3,60
240,1,70
241,2,80
242,3,90
243,1,100
244,2,20
245,3,30
246,1,40
247,2,50
248,3,60
249,1,70
250,2,80
251,3,90
252,1,100
253,2,20
254,3,30
255,1,40
256,2,50
257,3,60
258,1,70
259,2,80
260,3,90
261,1,100
262,2,20
263,3,30
264,1,40
265,2,50
266,3,60
267,1,70
268,2,80
269,3,90
270,1,100
271,2,20
272,3,30
273,1,40
274,2,50
275,3,60
276,1,70
277,2,80
278,3,90
279,1,100
280,2,20
281,3,30
282,1,40
283,2,50
284,3,60
285,1,70
286,2,80
287,3,90
288,1,100
289,2,20
290,3,30
291,1,40
292,2,50
293,3,60
294,1,70
295,2,80
296,3,90
297,1,100
298,2,20
299,3,30
300,1,40
