product_id,name,description,price,stock
201,Widget A,High-quality widget,19.99,100
202,Widget B,Durable widget,29.99,50
203,Widget C,Compact widget,9.99,200
204,Widget D,Versatile widget,15.99,120
205,Widget E,Premium widget,25.99,80
206,Widget F,Affordable widget,12.99,150
207,Widget G,Lightweight widget,18.99,90
208,Widget H,Heavy-duty widget,35.99,40
209,Widget I,Eco-friendly widget,22.99,70
210,Widget J,Innovative widget,27.99,60
211,Widget K,Compact widget,9.99,200
212,Widget L,High-quality widget,19.99,100
213,Widget M,Durable widget,29.99,50
214,Widget N,Versatile widget,15.99,120
215,Widget O,Premium widget,25.99,80
216,Widget P,Affordable widget,12.99,150
217,Widget Q,Lightweight widget,18.99,90
218,Widget R,Heavy-duty widget,35.99,40
219,Widget S,Eco-friendly widget,22.99,70
220,Widget T,Innovative widget,27.99,60
221,Widget U,Compact widget,9.99,200
222,Widget V,High-quality widget,19.99,100
223,Widget W,Durable widget,29.99,50
224,Widget X,Versatile widget,15.99,120
225,Widget Y,Premium widget,25.99,80
226,Widget Z,Affordable widget,12.99,150
227,Widget AA,Lightweight widget,18.99,90
228,Widget AB,Heavy-duty widget,35.99,40
229,Widget AC,Eco-friendly widget,22.99,70
230,Widget AD,Innovative widget,27.99,60
231,Widget AE,Compact widget,9.99,200
232,Widget AF,High-quality widget,19.99,100
233,Widget AG,Durable widget,29.99,50
234,Widget AH,Versatile widget,15.99,120
235,Widget AI,Premium widget,25.99,80
236,Widget AJ,Affordable widget,12.99,150
237,Widget AK,Lightweight widget,18.99,90
238,Widget AL,Heavy-duty widget,35.99,40
239,Widget AM,Eco-friendly widget,22.99,70
240,Widget AN,Innovative widget,27.99,60
241,Widget AO,Compact widget,9.99,200
242,Widget AP,High-quality widget,19.99,100
243,Widget AQ,Durable widget,29.99,50
244,Widget AR,Versatile widget,15.99,120
245,Widget AS,Premium widget,25.99,80
246,Widget AT,Affordable widget,12.99,150
247,Widget AU,Lightweight widget,18.99,90
248,Widget AV,Heavy-duty widget,35.99,40
249,Widget AW,Eco-friendly widget,22.99,70
250,Widget AX,Innovative widget,27.99,60
251,Widget AY,Compact widget,9.99,200
252,Widget AZ,High-quality widget,19.99,100
253,Widget BA,Durable widget,29.99,50
254,Widget BB,Versatile widget,15.99,120
255,Widget BC,Premium widget,25.99,80
256,Widget BD,Affordable widget,12.99,150
257,Widget BE,Lightweight widget,18.99,90
258,Widget BF,Heavy-duty widget,35.99,40
259,Widget BG,Eco-friendly widget,22.99,70
260,Widget BH,Innovative widget,27.99,60
261,Widget BI,Compact widget,9.99,200
262,Widget BJ,High-quality widget,19.99,100
263,Widget BK,Durable widget,29.99,50
264,Widget BL,Versatile widget,15.99,120
265,Widget BM,Premium widget,25.99,80
266,Widget BN,Affordable widget,12.99,150
267,Widget BO,Lightweight widget,18.99,90
268,Widget BP,Heavy-duty widget,35.99,40
269,Widget BQ,Eco-friendly widget,22.99,70
270,Widget BR,Innovative widget,27.99,60
271,Widget BS,Compact widget,9.99,200
272,Widget BT,High-quality widget,19.99,100
273,Widget BU,Durable widget,29.99,50
274,Widget BV,Versatile widget,15.99,120
275,Widget BW,Premium widget,25.99,80
276,Widget BX,Affordable widget,12.99,150
277,Widget BY,Lightweight widget,18.99,90
278,Widget BZ,Heavy-duty widget,35.99,40
279,Widget CA,Eco-friendly widget,22.99,70
280,Widget CB,Innovative widget,27.99,60
281,Widget CC,Compact widget,9.99,200
282,Widget CD,High-quality widget,19.99,100
283,Widget CE,Durable widget,29.99,50
284,Widget CF,Versatile widget,15.99,120
285,Widget CG,Premium widget,25.99,80
286,Widget CH,Affordable widget,12.99,150
287,Widget CI,Lightweight widget,18.99,90
288,Widget CJ,Heavy-duty widget,35.99,40
289,Widget CK,Eco-friendly widget,22.99,70
290,Widget CL,Innovative widget,27.99,60
291,Widget CM,Compact widget,9.99,200
292,Widget CN,High-quality widget,19.99,100
293,Widget CO,Durable widget,29.99,50
294,Widget CP,Versatile widget,15.99,120
295,Widget CQ,Premium widget,25.99,80
296,Widget CR,Affordable widget,12.99,150
297,Widget CS,Lightweight widget,18.99,90
298,Widget CT,Heavy-duty widget,35.99,40
299,Widget CU,Eco-friendly widget,22.99,70
300,Widget CV,Innovative widget,27.99,60
